time	gFy
0.004872396	0,9454
0.005317604	0,9464
0.005592656	0,9467
0.005852031	0,945
0.006820833	0,9427
0.007208438	0,9415
0.007488229	0,9405
0.007759688	0,9391
0.008051406	0,9383
0.008365573	0,9386
0.008659219	0,9388
0.008937813	0,9383
0.009232292	0,9364
0.010051198	0,9347
0.012514271	0,9344
0.013172708	0,9347
0.013512135	0,9347
0.014601771	0,9339
0.018555313	0,9322
0.019084896	0,932
0.019427188	0,9322
0.019715469	0,9325
0.020659167	0,932
0.021669063	0,9312
0.022820677	0,9315
0.024065469	0,9317
0.025384948	0,9325
0.026556719	0,9332
0.027607448	0,9344
0.028775313	0,9366
0.030385365	0,9381
0.034671094	0,9383
0.035117656	0,9381
0.035404271	0,9374
0.035641563	0,9371
0.036167396	0,9381
0.03733849	0,9383
0.038544375	0,9383
0.039706771	0,9391
0.040933229	0,9398
0.042156042	0,9405
0.043380208	0,9413
0.044478958	0,9403
0.045720885	0,9405
0.047747969	0,9422
0.048341094	0,9427
0.049613698	0,9422
0.050834427	0,9422
0.052012708	0,9427
0.053089375	0,9427
0.054264948	0,9427
0.055611354	0,9432
0.056716771	0,9444
0.058711615	0,9444
0.05918526	0,9439
0.060194688	0,943
0.061387917	0,9405
0.062762865	0,9386
0.064811198	0,9386
0.066954271	0,9383
0.067314375	0,9366
0.067784844	0,9354
0.068813646	0,9352
0.069980781	0,9347
0.071322865	0,9339
0.072496354	0,9334
0.073673906	0,933
0.075186875	0,9325
0.076083854	0,9322
0.077190156	0,9315
0.078381563	0,93
0.079826823	0,9288
0.081877448	0,9293
0.08303125	0,93
0.084628646	0,9293
0.08510401	0,9273
0.086047708	0,9269
0.08709776	0,9269
0.088194427	0,9276
0.089380052	0,9281
0.091049063	0,9278
0.091769688	0,9293
0.093035156	0,931
0.094149427	0,9315
0.095345677	0,931
0.096523854	0,93
0.098309583	0,9293
0.099307292	0,9291
0.101070625	0,9286
0.101956719	0,9291
0.103206302	0,93
0.105047292	0,9305
0.106234219	0,9312
0.10687974	0,931
0.107879531	0,9305
0.10924526	0,9303
0.110261719	0,931
0.111704844	0,9322
0.112803646	0,9334
0.114776719	0,933
0.115426875	0,932
0.116611354	0,9327
0.117874115	0,9332
0.118848594	0,9337
0.120026562	0,9344
0.120731406	0,9356
0.122043698	0,9356
0.123213177	0,9344
0.124408281	0,9337
0.125593698	0,9342
0.126929792	0,9349
0.12802724	0,9354
0.12926526	0,9356
0.131797969	0,9347
0.133099687	0,9342
0.13396974	0,9339
0.134973073	0,9325
0.137790833	0,9317
0.138308073	0,9312
0.138697083	0,9315
0.139251823	0,9325
0.140385625	0,9327
0.141411406	0,933
0.142785469	0,9334
0.143865104	0,9339
0.145258646	0,9342
0.146216823	0,9349
0.151220104	0,9354
0.151789635	0,9349
0.152181146	0,9349
0.152515052	0,9347
0.152802917	0,9354
0.153807292	0,9369
0.155341406	0,9369
0.156506719	0,9361
0.15787875	0,9359
0.1588025	0,9364
0.160080573	0,9374
0.160894896	0,9374
0.1622975	0,9364
0.164710729	0,9359
0.165204896	0,9366
0.165858281	0,9383
0.167211927	0,9398
0.168772448	0,94
0.169581042	0,9403
0.17063901	0,9408
0.171747708	0,941
0.172957396	0,9415
0.174203437	0,9427
0.175532656	0,943
